Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
29.03.2024;23:45:00;0,141;Der Wert ist gültig
30.03.2024;00:00:00;0,136;Der Wert ist gültig
30.03.2024;00:15:00;0,137;Der Wert ist gültig
30.03.2024;00:30:00;0,139;Der Wert ist gültig
30.03.2024;00:45:00;0,145;Der Wert ist gültig
30.03.2024;01:00:00;0,144;Der Wert ist gültig
30.03.2024;01:15:00;0,128;Der Wert ist gültig
30.03.2024;01:30:00;0,136;Der Wert ist gültig
30.03.2024;01:45:00;0,145;Der Wert ist gültig
30.03.2024;02:00:00;0,143;Der Wert ist gültig
30.03.2024;02:15:00;0,128;Der Wert ist gültig
30.03.2024;02:30:00;0,128;Der Wert ist gültig
30.03.2024;02:45:00;0,134;Der Wert ist gültig
30.03.2024;03:00:00;0,142;Der Wert ist gültig
30.03.2024;03:15:00;0,139;Der Wert ist gültig
30.03.2024;03:30:00;0,138;Der Wert ist gültig
30.03.2024;03:45:00;0,136;Der Wert ist gültig
30.03.2024;04:00:00;0,143;Der Wert ist gültig
30.03.2024;04:15:00;0,14;Der Wert ist gültig
30.03.2024;04:30:00;0,145;Der Wert ist gültig
30.03.2024;04:45:00;0,135;Der Wert ist gültig
30.03.2024;05:00:00;0,13;Der Wert ist gültig
30.03.2024;05:15:00;0,139;Der Wert ist gültig
30.03.2024;05:30:00;0,146;Der Wert ist gültig
30.03.2024;05:45:00;0,144;Der Wert ist gültig
30.03.2024;06:00:00;0,128;Der Wert ist gültig
30.03.2024;06:15:00;0,128;Der Wert ist gültig
30.03.2024;06:30:00;0,138;Der Wert ist gültig
30.03.2024;06:45:00;0,145;Der Wert ist gültig
30.03.2024;07:00:00;0,182;Der Wert ist gültig
30.03.2024;07:15:00;0,354;Der Wert ist gültig
30.03.2024;07:30:00;0,459;Der Wert ist gültig
30.03.2024;07:45:00;0,275;Der Wert ist gültig
30.03.2024;08:00:00;0,186;Der Wert ist gültig
30.03.2024;08:15:00;0,184;Der Wert ist gültig
30.03.2024;08:30:00;0,338;Der Wert ist gültig
30.03.2024;08:45:00;0,234;Der Wert ist gültig
30.03.2024;09:00:00;0,176;Der Wert ist gültig
30.03.2024;09:15:00;0,21;Der Wert ist gültig
30.03.2024;09:30:00;0,588;Der Wert ist gültig
30.03.2024;09:45:00;0,362;Der Wert ist gültig
30.03.2024;10:00:00;0,335;Der Wert ist gültig
30.03.2024;10:15:00;0,328;Der Wert ist gültig
30.03.2024;10:30:00;0,385;Der Wert ist gültig
30.03.2024;10:45:00;0,635;Der Wert ist gültig
30.03.2024;11:00:00;0,248;Der Wert ist gültig
30.03.2024;11:15:00;0,314;Der Wert ist gültig
30.03.2024;11:30:00;0,523;Der Wert ist gültig
30.03.2024;11:45:00;0,254;Der Wert ist gültig
30.03.2024;12:00:00;0,324;Der Wert ist gültig
30.03.2024;12:15:00;0,516;Der Wert ist gültig
30.03.2024;12:30:00;1,026;Der Wert ist gültig
30.03.2024;12:45:00;0,673;Der Wert ist gültig
30.03.2024;13:00:00;0,744;Der Wert ist gültig
30.03.2024;13:15:00;0,647;Der Wert ist gültig
30.03.2024;13:30:00;0,354;Der Wert ist gültig
