Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
11.04.2024;06:15:00;0,247;Der Wert ist gültig
11.04.2024;06:30:00;0,864;Der Wert ist gültig
11.04.2024;06:45:00;0,455;Der Wert ist gültig
11.04.2024;07:00:00;0,475;Der Wert ist gültig
11.04.2024;07:15:00;0,451;Der Wert ist gültig
11.04.2024;07:30:00;0,208;Der Wert ist gültig
11.04.2024;07:45:00;0,049;Der Wert ist gültig
11.04.2024;08:00:00;0,102;Der Wert ist gültig
11.04.2024;08:15:00;0,184;Der Wert ist gültig
11.04.2024;08:30:00;0,186;Der Wert ist gültig
11.04.2024;08:45:00;0,199;Der Wert ist gültig
11.04.2024;09:00:00;0,209;Der Wert ist gültig
11.04.2024;09:15:00;0,215;Der Wert ist gültig
11.04.2024;09:30:00;0,199;Der Wert ist gültig
11.04.2024;09:45:00;0,276;Der Wert ist gültig
11.04.2024;10:00:00;0,23;Der Wert ist gültig
11.04.2024;10:15:00;0,256;Der Wert ist gültig
11.04.2024;10:30:00;0,473;Der Wert ist gültig
11.04.2024;10:45:00;0,912;Der Wert ist gültig
11.04.2024;11:00:00;0,538;Der Wert ist gültig
11.04.2024;11:15:00;0,216;Der Wert ist gültig
11.04.2024;11:30:00;0,199;Der Wert ist gültig
11.04.2024;11:45:00;0,166;Der Wert ist gültig
11.04.2024;12:00:00;0,27;Der Wert ist gültig
11.04.2024;12:15:00;0,665;Der Wert ist gültig
11.04.2024;12:30:00;0,251;Der Wert ist gültig
11.04.2024;12:45:00;0,248;Der Wert ist gültig
11.04.2024;13:00:00;0,488;Der Wert ist gültig
11.04.2024;13:15:00;0,195;Der Wert ist gültig
11.04.2024;13:30:00;0,18;Der Wert ist gültig
11.04.2024;13:45:00;0,191;Der Wert ist gültig
11.04.2024;14:00:00;0,167;Der Wert ist gültig
11.04.2024;14:15:00;0,158;Der Wert ist gültig
11.04.2024;14:30:00;0,153;Der Wert ist gültig
11.04.2024;14:45:00;0,162;Der Wert ist gültig
11.04.2024;15:00:00;0,162;Der Wert ist gültig
11.04.2024;15:15:00;0,147;Der Wert ist gültig
11.04.2024;15:30:00;0,155;Der Wert ist gültig
11.04.2024;15:45:00;0,156;Der Wert ist gültig
11.04.2024;16:00:00;0,156;Der Wert ist gültig
11.04.2024;16:15:00;0,166;Der Wert ist gültig
11.04.2024;16:30:00;0,138;Der Wert ist gültig
11.04.2024;16:45:00;0,071;Der Wert ist gültig
11.04.2024;17:00:00;0,07;Der Wert ist gültig
11.04.2024;17:15:00;0,066;Der Wert ist gültig
11.04.2024;17:30:00;0,094;Der Wert ist gültig
11.04.2024;17:45:00;0,109;Der Wert ist gültig
11.04.2024;18:00:00;0,066;Der Wert ist gültig
11.04.2024;18:15:00;0,079;Der Wert ist gültig
11.04.2024;18:30:00;0,126;Der Wert ist gültig
11.04.2024;18:45:00;0,108;Der Wert ist gültig
11.04.2024;19:00:00;0,085;Der Wert ist gültig
11.04.2024;19:15:00;0,123;Der Wert ist gültig
11.04.2024;19:30:00;0,157;Der Wert ist gültig
11.04.2024;19:45:00;0,174;Der Wert ist gültig
11.04.2024;20:00:00;0,157;Der Wert ist gültig
11.04.2024;20:15:00;0,125;Der Wert ist gültig
11.04.2024;20:30:00;0,168;Der Wert ist gültig
11.04.2024;20:45:00;0,142;Der Wert ist gültig
11.04.2024;21:00:00;0,146;Der Wert ist gültig
11.04.2024;21:15:00;0,11;Der Wert ist gültig
11.04.2024;21:30:00;0,115;Der Wert ist gültig
11.04.2024;21:45:00;0,18;Der Wert ist gültig
11.04.2024;22:00:00;0,116;Der Wert ist gültig
11.04.2024;22:15:00;0,112;Der Wert ist gültig
11.04.2024;22:30:00;0,105;Der Wert ist gültig
11.04.2024;22:45:00;0,098;Der Wert ist gültig
11.04.2024;23:00:00;0,088;Der Wert ist gültig
11.04.2024;23:15:00;0,088;Der Wert ist gültig
11.04.2024;23:30:00;0,091;Der Wert ist gültig
11.04.2024;23:45:00;0,086;Der Wert ist gültig
12.04.2024;00:00:00;0,074;Der Wert ist gültig
12.04.2024;00:15:00;0,056;Der Wert ist gültig
12.04.2024;00:30:00;0,1;Der Wert ist gültig
12.04.2024;00:45:00;0,357;Der Wert ist gültig
12.04.2024;01:00:00;0,394;Der Wert ist gültig
12.04.2024;01:15:00;0,423;Der Wert ist gültig
12.04.2024;01:30:00;0,302;Der Wert ist gültig
12.04.2024;01:45:00;0,051;Der Wert ist gültig
12.04.2024;02:00:00;0,061;Der Wert ist gültig
12.04.2024;02:15:00;0,05;Der Wert ist gültig
12.04.2024;02:30:00;0,054;Der Wert ist gültig
12.04.2024;02:45:00;0,054;Der Wert ist gültig
12.04.2024;03:00:00;0,043;Der Wert ist gültig
12.04.2024;03:15:00;0,056;Der Wert ist gültig
12.04.2024;03:30:00;0,054;Der Wert ist gültig
12.04.2024;03:45:00;0,046;Der Wert ist gültig
12.04.2024;04:00:00;0,047;Der Wert ist gültig
12.04.2024;04:15:00;0,058;Der Wert ist gültig
12.04.2024;04:30:00;0,059;Der Wert ist gültig
12.04.2024;04:45:00;0,05;Der Wert ist gültig
12.04.2024;05:00:00;0,052;Der Wert ist gültig
12.04.2024;05:15:00;0,056;Der Wert ist gültig
12.04.2024;05:30:00;0,051;Der Wert ist gültig
12.04.2024;05:45:00;0,057;Der Wert ist gültig
12.04.2024;06:00:00;0,051;Der Wert ist gültig
12.04.2024;06:15:00;0,063;Der Wert ist gültig
12.04.2024;06:30:00;0,192;Der Wert ist gültig
12.04.2024;06:45:00;0,108;Der Wert ist gültig
12.04.2024;07:00:00;0,122;Der Wert ist gültig
12.04.2024;07:15:00;0,065;Der Wert ist gültig
12.04.2024;07:30:00;0,06;Der Wert ist gültig
12.04.2024;07:45:00;0,058;Der Wert ist gültig
12.04.2024;08:00:00;0,11;Der Wert ist gültig
12.04.2024;08:15:00;0,08;Der Wert ist gültig
12.04.2024;08:30:00;0,069;Der Wert ist gültig
12.04.2024;08:45:00;0,075;Der Wert ist gültig
12.04.2024;09:00:00;0,09;Der Wert ist gültig
12.04.2024;09:15:00;0,183;Der Wert ist gültig
12.04.2024;09:30:00;0,287;Der Wert ist gültig
12.04.2024;09:45:00;0,12;Der Wert ist gültig
12.04.2024;10:00:00;0,081;Der Wert ist gültig
12.04.2024;10:15:00;0,061;Der Wert ist gültig
12.04.2024;10:30:00;0,054;Der Wert ist gültig
12.04.2024;10:45:00;0,038;Der Wert ist gültig
12.04.2024;11:00:00;0,06;Der Wert ist gültig
12.04.2024;11:15:00;0,06;Der Wert ist gültig
12.04.2024;11:30:00;0,574;Der Wert ist gültig
12.04.2024;11:45:00;0,586;Der Wert ist gültig
12.04.2024;12:00:00;0,107;Der Wert ist gültig
12.04.2024;12:15:00;0,114;Der Wert ist gültig
12.04.2024;12:30:00;0,106;Der Wert ist gültig
12.04.2024;12:45:00;0,15;Der Wert ist gültig
12.04.2024;13:00:00;0,09;Der Wert ist gültig
12.04.2024;13:15:00;0,082;Der Wert ist gültig
12.04.2024;13:30:00;0,098;Der Wert ist gültig
12.04.2024;13:45:00;0,096;Der Wert ist gültig
12.04.2024;14:00:00;0,177;Der Wert ist gültig
12.04.2024;14:15:00;0,395;Der Wert ist gültig
12.04.2024;14:30:00;0,062;Der Wert ist gültig
12.04.2024;14:45:00;0,084;Der Wert ist gültig
12.04.2024;15:00:00;0,344;Der Wert ist gültig
12.04.2024;15:15:00;0,208;Der Wert ist gültig
12.04.2024;15:30:00;0,112;Der Wert ist gültig
12.04.2024;15:45:00;0,068;Der Wert ist gültig
12.04.2024;16:00:00;0,054;Der Wert ist gültig
12.04.2024;16:15:00;0,301;Der Wert ist gültig
12.04.2024;16:30:00;0,431;Der Wert ist gültig
12.04.2024;16:45:00;0,361;Der Wert ist gültig
12.04.2024;17:00:00;0,086;Der Wert ist gültig
12.04.2024;17:15:00;0,064;Der Wert ist gültig
12.04.2024;17:30:00;0,052;Der Wert ist gültig
12.04.2024;17:45:00;0,072;Der Wert ist gültig
12.04.2024;18:00:00;0,044;Der Wert ist gültig
12.04.2024;18:15:00;0,059;Der Wert ist gültig
12.04.2024;18:30:00;0,064;Der Wert ist gültig
12.04.2024;18:45:00;0,146;Der Wert ist gültig
12.04.2024;19:00:00;0,062;Der Wert ist gültig
12.04.2024;19:15:00;0,088;Der Wert ist gültig
12.04.2024;19:30:00;0,147;Der Wert ist gültig
12.04.2024;19:45:00;0,128;Der Wert ist gültig
12.04.2024;20:00:00;0,113;Der Wert ist gültig
12.04.2024;20:15:00;0,112;Der Wert ist gültig
12.04.2024;20:30:00;0,126;Der Wert ist gültig
12.04.2024;20:45:00;0,107;Der Wert ist gültig
12.04.2024;21:00:00;0,084;Der Wert ist gültig
12.04.2024;21:15:00;0,078;Der Wert ist gültig
12.04.2024;21:30:00;0,119;Der Wert ist gültig
12.04.2024;21:45:00;0,112;Der Wert ist gültig
12.04.2024;22:00:00;0,084;Der Wert ist gültig
12.04.2024;22:15:00;0,08;Der Wert ist gültig
12.04.2024;22:30:00;0,086;Der Wert ist gültig
12.04.2024;22:45:00;0,074;Der Wert ist gültig
12.04.2024;23:00:00;0,104;Der Wert ist gültig
12.04.2024;23:15:00;0,068;Der Wert ist gültig
12.04.2024;23:30:00;0,055;Der Wert ist gültig
12.04.2024;23:45:00;0,065;Der Wert ist gültig
13.04.2024;00:00:00;0,053;Der Wert ist gültig
13.04.2024;00:15:00;0,056;Der Wert ist gültig
13.04.2024;00:30:00;0,052;Der Wert ist gültig
13.04.2024;00:45:00;0,059;Der Wert ist gültig
13.04.2024;01:00:00;0,055;Der Wert ist gültig
13.04.2024;01:15:00;0,057;Der Wert ist gültig
13.04.2024;01:30:00;0,059;Der Wert ist gültig
13.04.2024;01:45:00;0,047;Der Wert ist gültig
13.04.2024;02:00:00;0,046;Der Wert ist gültig
13.04.2024;02:15:00;0,056;Der Wert ist gültig
13.04.2024;02:30:00;0,058;Der Wert ist gültig
13.04.2024;02:45:00;0,053;Der Wert ist gültig
13.04.2024;03:00:00;0,045;Der Wert ist gültig
13.04.2024;03:15:00;0,049;Der Wert ist gültig
13.04.2024;03:30:00;0,056;Der Wert ist gültig
13.04.2024;03:45:00;0,054;Der Wert ist gültig
13.04.2024;04:00:00;0,047;Der Wert ist gültig
13.04.2024;04:15:00;0,047;Der Wert ist gültig
13.04.2024;04:30:00;0,048;Der Wert ist gültig
13.04.2024;04:45:00;0,046;Der Wert ist gültig
13.04.2024;05:00:00;0,049;Der Wert ist gültig
13.04.2024;05:15:00;0,051;Der Wert ist gültig
13.04.2024;05:30:00;0,05;Der Wert ist gültig
13.04.2024;05:45:00;0,042;Der Wert ist gültig
13.04.2024;06:00:00;0,05;Der Wert ist gültig
13.04.2024;06:15:00;0,058;Der Wert ist gültig
13.04.2024;06:30:00;0,053;Der Wert ist gültig
13.04.2024;06:45:00;0,045;Der Wert ist gültig
13.04.2024;07:00:00;0,045;Der Wert ist gültig
13.04.2024;07:15:00;0,084;Der Wert ist gültig
13.04.2024;07:30:00;0,072;Der Wert ist gültig
13.04.2024;07:45:00;0,065;Der Wert ist gültig
13.04.2024;08:00:00;0,191;Der Wert ist gültig
13.04.2024;08:15:00;0,062;Der Wert ist gültig
13.04.2024;08:30:00;0,087;Der Wert ist gültig
13.04.2024;08:45:00;0,077;Der Wert ist gültig
13.04.2024;09:00:00;0,104;Der Wert ist gültig
13.04.2024;09:15:00;0,079;Der Wert ist gültig
13.04.2024;09:30:00;0,054;Der Wert ist gültig
13.04.2024;09:45:00;0,452;Der Wert ist gültig
13.04.2024;10:00:00;0,075;Der Wert ist gültig
13.04.2024;10:15:00;0,119;Der Wert ist gültig
13.04.2024;10:30:00;0,098;Der Wert ist gültig
13.04.2024;10:45:00;0,148;Der Wert ist gültig
13.04.2024;11:00:00;0,112;Der Wert ist gültig
13.04.2024;11:15:00;0,047;Der Wert ist gültig
13.04.2024;11:30:00;0,143;Der Wert ist gültig
13.04.2024;11:45:00;0,355;Der Wert ist gültig
13.04.2024;12:00:00;0,175;Der Wert ist gültig
13.04.2024;12:15:00;0,092;Der Wert ist gültig
13.04.2024;12:30:00;0,104;Der Wert ist gültig
13.04.2024;12:45:00;0,089;Der Wert ist gültig
13.04.2024;13:00:00;0,539;Der Wert ist gültig
13.04.2024;13:15:00;0,314;Der Wert ist gültig
13.04.2024;13:30:00;0,073;Der Wert ist gültig
13.04.2024;13:45:00;0,443;Der Wert ist gültig
13.04.2024;14:00:00;0,072;Der Wert ist gültig
13.04.2024;14:15:00;0,086;Der Wert ist gültig
13.04.2024;14:30:00;0,053;Der Wert ist gültig
13.04.2024;14:45:00;0,066;Der Wert ist gültig
13.04.2024;15:00:00;0,095;Der Wert ist gültig
13.04.2024;15:15:00;0,073;Der Wert ist gültig
13.04.2024;15:30:00;0,075;Der Wert ist gültig
13.04.2024;15:45:00;0,065;Der Wert ist gültig
13.04.2024;16:00:00;0,29;Der Wert ist gültig
13.04.2024;16:15:00;0,46;Der Wert ist gültig
13.04.2024;16:30:00;0,465;Der Wert ist gültig
13.04.2024;16:45:00;0,102;Der Wert ist gültig
13.04.2024;17:00:00;0,158;Der Wert ist gültig
13.04.2024;17:15:00;0,195;Der Wert ist gültig
13.04.2024;17:30:00;0,173;Der Wert ist gültig
13.04.2024;17:45:00;0,315;Der Wert ist gültig
13.04.2024;18:00:00;0,288;Der Wert ist gültig
13.04.2024;18:15:00;0,116;Der Wert ist gültig
13.04.2024;18:30:00;0,112;Der Wert ist gültig
13.04.2024;18:45:00;0,076;Der Wert ist gültig
13.04.2024;19:00:00;0,153;Der Wert ist gültig
13.04.2024;19:15:00;0,14;Der Wert ist gültig
13.04.2024;19:30:00;0,146;Der Wert ist gültig
13.04.2024;19:45:00;0,158;Der Wert ist gültig
13.04.2024;20:00:00;0,165;Der Wert ist gültig
13.04.2024;20:15:00;0,17;Der Wert ist gültig
13.04.2024;20:30:00;0,174;Der Wert ist gültig
13.04.2024;20:45:00;0,21;Der Wert ist gültig
13.04.2024;21:00:00;0,456;Der Wert ist gültig
13.04.2024;21:15:00;0,437;Der Wert ist gültig
13.04.2024;21:30:00;0,488;Der Wert ist gültig
13.04.2024;21:45:00;0,482;Der Wert ist gültig
13.04.2024;22:00:00;0,548;Der Wert ist gültig
13.04.2024;22:15:00;0,474;Der Wert ist gültig
13.04.2024;22:30:00;0,467;Der Wert ist gültig
13.04.2024;22:45:00;0,27;Der Wert ist gültig
13.04.2024;23:00:00;0,092;Der Wert ist gültig
13.04.2024;23:15:00;0,108;Der Wert ist gültig
13.04.2024;23:30:00;0,087;Der Wert ist gültig
13.04.2024;23:45:00;0,091;Der Wert ist gültig
14.04.2024;00:00:00;0,108;Der Wert ist gültig
14.04.2024;00:15:00;0,109;Der Wert ist gültig
14.04.2024;00:30:00;0,097;Der Wert ist gültig
14.04.2024;00:45:00;0,094;Der Wert ist gültig
14.04.2024;01:00:00;0,087;Der Wert ist gültig
14.04.2024;01:15:00;0,082;Der Wert ist gültig
14.04.2024;01:30:00;0,078;Der Wert ist gültig
14.04.2024;01:45:00;0,085;Der Wert ist gültig
14.04.2024;02:00:00;0,084;Der Wert ist gültig
14.04.2024;02:15:00;0,083;Der Wert ist gültig
14.04.2024;02:30:00;0,08;Der Wert ist gültig
14.04.2024;02:45:00;0,072;Der Wert ist gültig
14.04.2024;03:00:00;0,083;Der Wert ist gültig
14.04.2024;03:15:00;0,094;Der Wert ist gültig
14.04.2024;03:30:00;0,077;Der Wert ist gültig
14.04.2024;03:45:00;0,072;Der Wert ist gültig
14.04.2024;04:00:00;0,082;Der Wert ist gültig
14.04.2024;04:15:00;0,079;Der Wert ist gültig
14.04.2024;04:30:00;0,083;Der Wert ist gültig
14.04.2024;04:45:00;0,075;Der Wert ist gültig
14.04.2024;05:00:00;0,072;Der Wert ist gültig
14.04.2024;05:15:00;0,076;Der Wert ist gültig
14.04.2024;05:30:00;0,075;Der Wert ist gültig
14.04.2024;05:45:00;0,069;Der Wert ist gültig
14.04.2024;06:00:00;0,081;Der Wert ist gültig
14.04.2024;06:15:00;0,069;Der Wert ist gültig
14.04.2024;06:30:00;0,067;Der Wert ist gültig
14.04.2024;06:45:00;0,075;Der Wert ist gültig
14.04.2024;07:00:00;0,076;Der Wert ist gültig
14.04.2024;07:15:00;0,084;Der Wert ist gültig
14.04.2024;07:30:00;0,463;Der Wert ist gültig
14.04.2024;07:45:00;0,214;Der Wert ist gültig
14.04.2024;08:00:00;0,079;Der Wert ist gültig
14.04.2024;08:15:00;0,06;Der Wert ist gültig
14.04.2024;08:30:00;0,382;Der Wert ist gültig
14.04.2024;08:45:00;0,468;Der Wert ist gültig
14.04.2024;09:00:00;0,073;Der Wert ist gültig
14.04.2024;09:15:00;0,379;Der Wert ist gültig
14.04.2024;09:30:00;0,749;Der Wert ist gültig
14.04.2024;09:45:00;0,554;Der Wert ist gültig
14.04.2024;10:00:00;0,16;Der Wert ist gültig
14.04.2024;10:15:00;0,09;Der Wert ist gültig
14.04.2024;10:30:00;0,083;Der Wert ist gültig
14.04.2024;10:45:00;0,078;Der Wert ist gültig
14.04.2024;11:00:00;0,092;Der Wert ist gültig
14.04.2024;11:15:00;0,383;Der Wert ist gültig
14.04.2024;11:30:00;0,259;Der Wert ist gültig
14.04.2024;11:45:00;0,501;Der Wert ist gültig
14.04.2024;12:00:00;0,12;Der Wert ist gültig
14.04.2024;12:15:00;0,062;Der Wert ist gültig
14.04.2024;12:30:00;0,12;Der Wert ist gültig
14.04.2024;12:45:00;0,314;Der Wert ist gültig
14.04.2024;13:00:00;0,122;Der Wert ist gültig
14.04.2024;13:15:00;0,067;Der Wert ist gültig
14.04.2024;13:30:00;0,079;Der Wert ist gültig
14.04.2024;13:45:00;0,069;Der Wert ist gültig
14.04.2024;14:00:00;0,063;Der Wert ist gültig
14.04.2024;14:15:00;0,052;Der Wert ist gültig
14.04.2024;14:30:00;0,053;Der Wert ist gültig
14.04.2024;14:45:00;0,057;Der Wert ist gültig
14.04.2024;15:00:00;0,056;Der Wert ist gültig
14.04.2024;15:15:00;0,049;Der Wert ist gültig
14.04.2024;15:30:00;0,057;Der Wert ist gültig
14.04.2024;15:45:00;0,052;Der Wert ist gültig
14.04.2024;16:00:00;0,058;Der Wert ist gültig
14.04.2024;16:15:00;0,047;Der Wert ist gültig
14.04.2024;16:30:00;0,055;Der Wert ist gültig
14.04.2024;16:45:00;0,153;Der Wert ist gültig
14.04.2024;17:00:00;0,207;Der Wert ist gültig
14.04.2024;17:15:00;0,186;Der Wert ist gültig
14.04.2024;17:30:00;0,284;Der Wert ist gültig
14.04.2024;17:45:00;0,556;Der Wert ist gültig
14.04.2024;18:00:00;0,469;Der Wert ist gültig
14.04.2024;18:15:00;0,384;Der Wert ist gültig
14.04.2024;18:30:00;0,449;Der Wert ist gültig
14.04.2024;18:45:00;0,463;Der Wert ist gültig
14.04.2024;19:00:00;0,415;Der Wert ist gültig
14.04.2024;19:15:00;0,132;Der Wert ist gültig
14.04.2024;19:30:00;0,153;Der Wert ist gültig
14.04.2024;19:45:00;0,142;Der Wert ist gültig
14.04.2024;20:00:00;0,126;Der Wert ist gültig
14.04.2024;20:15:00;0,131;Der Wert ist gültig
14.04.2024;20:30:00;0,14;Der Wert ist gültig
14.04.2024;20:45:00;0,128;Der Wert ist gültig
14.04.2024;21:00:00;0,098;Der Wert ist gültig
14.04.2024;21:15:00;0,227;Der Wert ist gültig
14.04.2024;21:30:00;0,419;Der Wert ist gültig
14.04.2024;21:45:00;0,471;Der Wert ist gültig
14.04.2024;22:00:00;0,474;Der Wert ist gültig
14.04.2024;22:15:00;0,277;Der Wert ist gültig
14.04.2024;22:30:00;0,087;Der Wert ist gültig
14.04.2024;22:45:00;0,084;Der Wert ist gültig
14.04.2024;23:00:00;0,066;Der Wert ist gültig
14.04.2024;23:15:00;0,063;Der Wert ist gültig
14.04.2024;23:30:00;0,061;Der Wert ist gültig
14.04.2024;23:45:00;0,056;Der Wert ist gültig
15.04.2024;00:00:00;0,065;Der Wert ist gültig
15.04.2024;00:15:00;0,062;Der Wert ist gültig
15.04.2024;00:30:00;0,055;Der Wert ist gültig
15.04.2024;00:45:00;0,052;Der Wert ist gültig
15.04.2024;01:00:00;0,058;Der Wert ist gültig
15.04.2024;01:15:00;0,065;Der Wert ist gültig
15.04.2024;01:30:00;0,068;Der Wert ist gültig
15.04.2024;01:45:00;0,43;Der Wert ist gültig
15.04.2024;02:00:00;0,065;Der Wert ist gültig
15.04.2024;02:15:00;0,068;Der Wert ist gültig
15.04.2024;02:30:00;0,064;Der Wert ist gültig
15.04.2024;02:45:00;0,171;Der Wert ist gültig
15.04.2024;03:00:00;0,088;Der Wert ist gültig
15.04.2024;03:15:00;0,057;Der Wert ist gültig
15.04.2024;03:30:00;0,054;Der Wert ist gültig
15.04.2024;03:45:00;0,054;Der Wert ist gültig
15.04.2024;04:00:00;0,06;Der Wert ist gültig
15.04.2024;04:15:00;0,058;Der Wert ist gültig
15.04.2024;04:30:00;0,049;Der Wert ist gültig
15.04.2024;04:45:00;0,052;Der Wert ist gültig
15.04.2024;05:00:00;0,055;Der Wert ist gültig
15.04.2024;05:15:00;0,055;Der Wert ist gültig
15.04.2024;05:30:00;0,052;Der Wert ist gültig
15.04.2024;05:45:00;0,045;Der Wert ist gültig
15.04.2024;06:00:00;0,05;Der Wert ist gültig
15.04.2024;06:15:00;0,067;Der Wert ist gültig
15.04.2024;06:30:00;0,129;Der Wert ist gültig
15.04.2024;06:45:00;0,109;Der Wert ist gültig
15.04.2024;07:00:00;0,081;Der Wert ist gültig
15.04.2024;07:15:00;0,058;Der Wert ist gültig
15.04.2024;07:30:00;0,109;Der Wert ist gültig
15.04.2024;07:45:00;0,064;Der Wert ist gültig
15.04.2024;08:00:00;0,054;Der Wert ist gültig
15.04.2024;08:15:00;0,053;Der Wert ist gültig
15.04.2024;08:30:00;0,043;Der Wert ist gültig
15.04.2024;08:45:00;0,049;Der Wert ist gültig
15.04.2024;09:00:00;0,074;Der Wert ist gültig
15.04.2024;09:15:00;0,122;Der Wert ist gültig
15.04.2024;09:30:00;0,048;Der Wert ist gültig
15.04.2024;09:45:00;0,04;Der Wert ist gültig
15.04.2024;10:00:00;0,061;Der Wert ist gültig
15.04.2024;10:15:00;0,095;Der Wert ist gültig
15.04.2024;10:30:00;0,053;Der Wert ist gültig
15.04.2024;10:45:00;0,056;Der Wert ist gültig
15.04.2024;11:00:00;0,06;Der Wert ist gültig
15.04.2024;11:15:00;0,064;Der Wert ist gültig
15.04.2024;11:30:00;0,119;Der Wert ist gültig
15.04.2024;11:45:00;0,615;Der Wert ist gültig
15.04.2024;12:00:00;0,089;Der Wert ist gültig
15.04.2024;12:15:00;0,106;Der Wert ist gültig
15.04.2024;12:30:00;0,1;Der Wert ist gültig
15.04.2024;12:45:00;0,087;Der Wert ist gültig
15.04.2024;13:00:00;0,549;Der Wert ist gültig
15.04.2024;13:15:00;0,286;Der Wert ist gültig
15.04.2024;13:30:00;0,091;Der Wert ist gültig
15.04.2024;13:45:00;0,414;Der Wert ist gültig
15.04.2024;14:00:00;0,065;Der Wert ist gültig
15.04.2024;14:15:00;0,069;Der Wert ist gültig
15.04.2024;14:30:00;0,049;Der Wert ist gültig
15.04.2024;14:45:00;0,048;Der Wert ist gültig
15.04.2024;15:00:00;0,052;Der Wert ist gültig
15.04.2024;15:15:00;0,047;Der Wert ist gültig
15.04.2024;15:30:00;0,046;Der Wert ist gültig
15.04.2024;15:45:00;0,052;Der Wert ist gültig
15.04.2024;16:00:00;0,052;Der Wert ist gültig
15.04.2024;16:15:00;0,052;Der Wert ist gültig
15.04.2024;16:30:00;0,042;Der Wert ist gültig
15.04.2024;16:45:00;0,1;Der Wert ist gültig
15.04.2024;17:00:00;0,068;Der Wert ist gültig
15.04.2024;17:15:00;0,256;Der Wert ist gültig
15.04.2024;17:30:00;0,242;Der Wert ist gültig
15.04.2024;17:45:00;0,067;Der Wert ist gültig
15.04.2024;18:00:00;0,088;Der Wert ist gültig
15.04.2024;18:15:00;0,117;Der Wert ist gültig
15.04.2024;18:30:00;0,115;Der Wert ist gültig
15.04.2024;18:45:00;0,104;Der Wert ist gültig
15.04.2024;19:00:00;0,06;Der Wert ist gültig
15.04.2024;19:15:00;0,061;Der Wert ist gültig
15.04.2024;19:30:00;0,109;Der Wert ist gültig
15.04.2024;19:45:00;0,12;Der Wert ist gültig
15.04.2024;20:00:00;0,104;Der Wert ist gültig
15.04.2024;20:15:00;0,098;Der Wert ist gültig
15.04.2024;20:30:00;0,102;Der Wert ist gültig
15.04.2024;20:45:00;0,109;Der Wert ist gültig
15.04.2024;21:00:00;0,111;Der Wert ist gültig
15.04.2024;21:15:00;0,115;Der Wert ist gültig
15.04.2024;21:30:00;0,093;Der Wert ist gültig
15.04.2024;21:45:00;0,129;Der Wert ist gültig
15.04.2024;22:00:00;0,103;Der Wert ist gültig
15.04.2024;22:15:00;0,089;Der Wert ist gültig
15.04.2024;22:30:00;0,11;Der Wert ist gültig
15.04.2024;22:45:00;0,079;Der Wert ist gültig
15.04.2024;23:00:00;0,077;Der Wert ist gültig
15.04.2024;23:15:00;0,073;Der Wert ist gültig
15.04.2024;23:30:00;0,067;Der Wert ist gültig
15.04.2024;23:45:00;0,043;Der Wert ist gültig
16.04.2024;00:00:00;0,044;Der Wert ist gültig
16.04.2024;00:15:00;0,047;Der Wert ist gültig
16.04.2024;00:30:00;0,056;Der Wert ist gültig
16.04.2024;00:45:00;0,052;Der Wert ist gültig
16.04.2024;01:00:00;0,049;Der Wert ist gültig
16.04.2024;01:15:00;0,04;Der Wert ist gültig
16.04.2024;01:30:00;0,047;Der Wert ist gültig
16.04.2024;01:45:00;0,059;Der Wert ist gültig
16.04.2024;02:00:00;0,051;Der Wert ist gültig
16.04.2024;02:15:00;0,042;Der Wert ist gültig
16.04.2024;02:30:00;0,044;Der Wert ist gültig
16.04.2024;02:45:00;0,048;Der Wert ist gültig
16.04.2024;03:00:00;0,05;Der Wert ist gültig
16.04.2024;03:15:00;0,041;Der Wert ist gültig
16.04.2024;03:30:00;0,05;Der Wert ist gültig
16.04.2024;03:45:00;0,062;Der Wert ist gültig
16.04.2024;04:00:00;0,079;Der Wert ist gültig
16.04.2024;04:15:00;0,062;Der Wert ist gültig
16.04.2024;04:30:00;0,053;Der Wert ist gültig
16.04.2024;04:45:00;0,049;Der Wert ist gültig
16.04.2024;05:00:00;0,056;Der Wert ist gültig
16.04.2024;05:15:00;0,041;Der Wert ist gültig
16.04.2024;05:30:00;0,048;Der Wert ist gültig
16.04.2024;05:45:00;0,055;Der Wert ist gültig
16.04.2024;06:00:00;0,086;Der Wert ist gültig
16.04.2024;06:15:00;0,102;Der Wert ist gültig
16.04.2024;06:30:00;0,189;Der Wert ist gültig
16.04.2024;06:45:00;0,121;Der Wert ist gültig
16.04.2024;07:00:00;0,11;Der Wert ist gültig
16.04.2024;07:15:00;0,054;Der Wert ist gültig
16.04.2024;07:30:00;0,049;Der Wert ist gültig
16.04.2024;07:45:00;0,061;Der Wert ist gültig
16.04.2024;08:00:00;0,081;Der Wert ist gültig
16.04.2024;08:15:00;0,065;Der Wert ist gültig
16.04.2024;08:30:00;0,07;Der Wert ist gültig
16.04.2024;08:45:00;0,362;Der Wert ist gültig
16.04.2024;09:00:00;0,252;Der Wert ist gültig
16.04.2024;09:15:00;0,071;Der Wert ist gültig
16.04.2024;09:30:00;0,086;Der Wert ist gültig
16.04.2024;09:45:00;0,08;Der Wert ist gültig
